Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,23.5,23.84,23.5,23.67,131500,22.95
2015-12-29,23.62,23.71,23.29,23.52,220900,22.8
2015-12-28,23.64,23.77,23.38,23.52,138700,22.8
2015-12-24,23.39,23.8,23,23.68,102000,22.96
2015-12-23,23.23,23.47,23.09,23.21,113500,22.5
2015-12-22,22.9,23.14,22.56,23.1,120200,22.4
2015-12-21,22.88,23.17,22.69,22.85,103900,22.15
2015-12-18,22.94,23.04,22.64,22.76,389300,22.07
2015-12-17,23.59,23.61,22.97,23.08,146100,22.38
2015-12-16,23.5,23.79,23.16,23.39,131600,22.68
2015-12-15,23.66,23.76,22.85,23.38,169600,22.67
2015-12-14,22.64,23.54,22.64,23.51,316200,22.79
2015-12-11,22.86,23.5,22.63,22.74,346900,22.05
2015-12-10,23.44,23.53,23.02,23.33,363500,22.62
2015-12-09,24.27,24.73,23.39,23.42,206900,22.71
2015-12-08,23.86,24.58,23.62,24.34,274600,23.6
2015-12-07,24.46,24.46,23.84,24.06,129500,23.33
2015-12-04,23.75,24.61,23.7,24.53,164700,23.78
2015-12-03,24.21,24.26,23.61,23.74,184700,23.02
2015-12-02,24.27,24.52,24.05,24.1,122200,23.36
2015-12-01,24.83,24.9,24.23,24.31,186600,23.57
