Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,20.84,20.97,20.74,20.75,3982000,18.19
2015-12-29,20.81,20.98,20.75,20.82,3394200,18.24
2015-12-28,20.69,20.8,20.48,20.7,3209600,18.14
2015-12-24,20.64,20.88,20.5,20.75,2786600,18.19
2015-12-23,20.15,20.66,19.75,20.63,7509000,18.08
2015-12-22,19.5,20.04,19.4,20.04,5062000,17.56
2015-12-21,19.61,19.75,19.22,19.42,5801200,17.02
2015-12-18,19.89,19.97,19.51,19.55,10781800,17.13
2015-12-17,20.22,20.25,19.84,20,6047400,17.52
2015-12-16,20.08,20.27,19.82,20.15,4135800,17.65
2015-12-15,20.08,20.17,19.82,19.92,4289600,17.45
2015-12-14,19.81,19.95,19.58,19.95,3713800,17.48
2015-12-11,19.77,20.06,19.64,19.74,4697400,17.29
2015-12-10,20.09,20.24,19.97,20.08,3222000,17.59
2015-12-09,19.99,20.46,19.95,20.11,4356600,17.62
2015-12-08,20.1,20.27,19.97,20.1,4629000,17.61
2015-12-07,20.06,20.45,19.95,20.42,5984200,17.89
2015-12-04,19.8,20.15,19.75,20.07,4806400,17.59
2015-12-03,20.08,20.18,19.58,19.72,6040800,17.28
2015-12-02,20.4,20.48,20,20.07,4438000,17.59
2015-12-01,20.41,20.55,20.26,20.46,5844000,17.93
