Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,56.47,56.78,56.29,56.31,21704500,51.64
2015-12-29,56.29,56.85,56.06,56.55,27731400,51.86
2015-12-28,55.35,55.95,54.98,55.95,22458300,51.31
2015-12-24,55.86,55.96,55.43,55.67,9558500,51.06
2015-12-23,55.7,55.88,55.44,55.82,27279800,51.19
2015-12-22,54.99,55.48,54.5,55.35,28322200,50.76
2015-12-21,54.88,55.35,54.23,54.83,37246300,50.29
2015-12-18,55.77,56,54.03,54.13,84684200,49.64
2015-12-17,56.36,56.79,55.53,55.7,41280900,51.08
2015-12-16,55.54,56.25,54.76,56.13,37503300,51.48
2015-12-15,55.66,55.9,55.09,55.2,39843000,50.63
2015-12-14,54.33,55.21,53.68,55.14,46768900,50.57
2015-12-11,54.71,55.1,54.01,54.06,39549500,49.58
2015-12-10,55.39,55.66,55.01,55.27,31775800,50.69
2015-12-09,55.37,55.87,54.51,54.98,36373200,50.42
2015-12-08,55.47,56.1,54.99,55.79,32878000,51.17
2015-12-07,55.79,55.97,55.29,55.81,30709800,51.19
2015-12-04,54.12,56.23,54.1,55.91,43963700,51.28
2015-12-03,55.49,55.77,53.93,54.2,38627800,49.71
2015-12-02,55.32,55.96,55.06,55.21,47274900,50.63
2015-12-01,54.41,55.23,54.3,55.22,39952800,50.64
